当座預金口座,返済期間,信用履歴,目的,借入金額,普通預金口座,雇用状況,性別など,保証人など,資産,年齢,その他借入,住居,仕事,電話番号,審査結果
口座なし,24,要注意人物,ラジオ／テレビ,2872,100～500DM,勤続7年以上,女性／独身,なし,不動産,36,なし,家主,正社員,,安全
口座なし,15,遅延なく返済中,家電,1262,500～1000DM,勤続4年以上7年未満,女性／独身,なし,生命保険など,36,なし,家主,正社員,,安全
200DM未満,10,遅延なく返済中,新車,7308,100DM未満,失業中,女性／独身,なし,なし,70,銀行,家族と同居,管理者/役員,登録あり,安全
口座なし,36,遅延なく返済中,新車,909,500～1000DM,勤続7年以上,女性／独身,なし,生命保険など,36,なし,家主,正社員,登録あり,安全
口座なし,6,遅延なく返済中,家具など,2978,500～1000DM,勤続1年以上4年未満,女性／独身,なし,その他資産,32,なし,家主,正社員,,安全
0DM未満,15,借金なし,新車,950,100DM未満,勤続7年以上,女性／独身,なし,その他資産,33,なし,賃貸,正社員,,リスクあり
200DM未満,8,遅延なく返済中,ラジオ／テレビ,1414,100DM未満,勤続1年以上4年未満,女性／独身,保証人,不動産,33,なし,家主,正社員,,安全
0DM未満,21,遅延あり,教育,3414,100DM未満,勤続１年未満,女性／独身,なし,生命保険など,26,なし,家主,正社員,登録あり,リスクあり
0DM未満,6,要注意人物,ラジオ／テレビ,338,500～1000DM,勤続7年以上,女性／独身,なし,その他資産,52,なし,家主,正社員,,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,1963,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,31,なし,賃貸,管理者/役員,,安全
0DM未満,21,要注意人物,新車,571,100DM未満,勤続7年以上,女性／独身,なし,不動産,65,なし,家主,正社員,,安全
0DM未満,21,当銀行の返済金なし,新車,1647,口座なし,勤続1年以上4年未満,女性／独身,なし,生命保険など,40,なし,家主,パート/アルバイト,登録あり,リスクあり
口座なし,24,要注意人物,家具など,3777,1000DM以上,勤続1年以上4年未満,女性／独身,なし,不動産,50,なし,家主,正社員,登録あり,安全
200DM未満,18,要注意人物,新車,884,100DM未満,勤続7年以上,女性／独身,なし,その他資産,36,銀行,家主,正社員,登録あり,リスクあり
口座なし,15,要注意人物,ラジオ／テレビ,1360,100DM未満,勤続1年以上4年未満,女性／独身,なし,生命保険など,31,なし,家主,正社員,登録あり,安全
200DM未満,16,要注意人物,新車,1175,100DM未満,失業中,女性／独身,なし,その他資産,68,なし,家族と同居,無職,,安全
口座なし,24,遅延なく返済中,仕事,4591,1000DM以上,勤続1年以上4年未満,女性／独身,なし,生命保険など,54,なし,家主,管理者/役員,登録あり,リスクあり
200DM未満,48,借金なし,仕事,3844,100～500DM,勤続4年以上7年未満,女性／独身,なし,なし,34,なし,家族と同居,パート/アルバイト,登録あり,リスクあり
200DM未満,27,遅延なく返済中,仕事,3915,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,36,なし,家主,正社員,,リスクあり
200DM未満,45,遅延なく返済中,ラジオ／テレビ,3031,100～500DM,勤続1年以上4年未満,女性／独身,保証人,生命保険など,21,なし,賃貸,正社員,登録あり,リスクあり
200DM未満,24,遅延なく返済中,中古車,2760,口座なし,勤続7年以上,女性／独身,なし,なし,36,銀行,家族と同居,正社員,,安全
口座なし,9,要注意人物,教育,936,500～1000DM,勤続7年以上,女性／独身,なし,その他資産,52,なし,家主,正社員,登録あり,安全
口座なし,27,遅延あり,仕事,5117,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,26,なし,家主,正社員,,安全
口座なし,12,要注意人物,新車,1495,100DM未満,勤続7年以上,女性／独身,なし,不動産,38,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,30,要注意人物,中古車,10623,100DM未満,勤続7年以上,女性／独身,なし,なし,38,なし,家族と同居,管理者/役員,登録あり,安全
口座なし,12,要注意人物,家具など,1935,100DM未満,勤続7年以上,女性／独身,なし,不動産,43,なし,家主,正社員,,安全
200DM未満,12,要注意人物,家電,1424,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,26,なし,家主,正社員,,安全
口座なし,12,遅延なく返済中,中古車,1413,1000DM以上,勤続4年以上7年未満,女性／独身,なし,生命保険など,55,なし,家主,正社員,登録あり,安全
口座なし,9,要注意人物,ラジオ／テレビ,3074,口座なし,勤続1年以上4年未満,女性／独身,なし,不動産,33,なし,家主,正社員,登録あり,安全
0DM未満,27,借金なし,仕事,5293,100DM未満,失業中,女性／独身,なし,生命保険など,50,消費者金融,家主,正社員,登録あり,リスクあり
200DM以上または給与振込口座,30,遅延あり,仕事,1908,100DM未満,勤続7年以上,女性／独身,なし,不動産,66,なし,家主,管理者/役員,,リスクあり
口座なし,36,要注意人物,ラジオ／テレビ,3342,口座なし,勤続7年以上,女性／独身,なし,その他資産,51,なし,家主,正社員,登録あり,安全
0DM未満,18,借金なし,仕事,3104,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,31,銀行,家主,正社員,,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,3913,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,23,なし,家主,正社員,,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,707,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,30,銀行,家主,正社員,,安全
口座なし,24,遅延あり,仕事,2978,口座なし,勤続1年以上4年未満,女性／独身,なし,不動産,32,なし,家主,正社員,,安全
口座なし,15,遅延なく返済中,中古車,4657,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,30,なし,家主,正社員,登録あり,安全
口座なし,36,借金なし,修理,2613,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,27,なし,家主,正社員,,安全
200DM未満,48,遅延なく返済中,ラジオ／テレビ,10961,1000DM以上,勤続4年以上7年未満,女性／独身,連帯債務者,なし,27,銀行,家主,正社員,,リスクあり
0DM未満,12,遅延なく返済中,家具など,7865,100DM未満,勤続7年以上,女性／独身,なし,なし,53,なし,家族と同居,管理者/役員,登録あり,リスクあり
口座なし,9,遅延なく返済中,ラジオ／テレビ,1478,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,22,なし,家主,正社員,,リスクあり
0DM未満,24,遅延なく返済中,家具など,3149,100DM未満,勤続１年未満,女性／独身,なし,なし,22,銀行,家族と同居,正社員,,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,4210,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,26,なし,家主,正社員,登録あり,リスクあり
口座なし,9,遅延なく返済中,新車,2507,500～1000DM,勤続7年以上,女性／独身,なし,なし,51,なし,家族と同居,パート/アルバイト,登録あり,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,2141,100～500DM,勤続4年以上7年未満,女性／独身,なし,なし,35,なし,家主,正社員,,安全
口座なし,4,要注意人物,ラジオ／テレビ,1544,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,42,なし,家主,パート/アルバイト,,安全
0DM未満,24,遅延なく返済中,ラジオ／テレビ,1823,100DM未満,失業中,女性／独身,なし,その他資産,30,消費者金融,家主,管理者/役員,登録あり,リスクあり
200DM未満,6,遅延なく返済中,新車,14555,口座なし,失業中,女性／独身,なし,生命保険など,23,なし,家主,無職,登録あり,リスクあり
0DM未満,30,遅延なく返済中,ラジオ／テレビ,2522,100DM未満,勤続7年以上,女性／独身,保証人,生命保険など,39,なし,家主,正社員,,安全
口座なし,6,遅延なく返済中,ラジオ／テレビ,1595,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,51,なし,家主,正社員,登録あり,安全
0DM未満,48,借金なし,中古車,4605,100DM未満,勤続7年以上,女性／独身,なし,なし,24,なし,家族と同居,正社員,,リスクあり
口座なし,24,遅延なく返済中,仕事,1258,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,25,なし,家主,正社員,,安全
口座なし,12,要注意人物,ラジオ／テレビ,717,100DM未満,勤続7年以上,女性／独身,なし,不動産,52,なし,家主,正社員,登録あり,安全
口座なし,6,借金なし,新車,1204,100～500DM,勤続1年以上4年未満,女性／独身,なし,なし,35,銀行,賃貸,正社員,,安全
200DM以上または給与振込口座,24,遅延なく返済中,家具など,1925,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,26,なし,家主,正社員,登録あり,安全
口座なし,24,遅延あり,家具など,4151,100～500DM,勤続1年以上4年未満,女性／独身,なし,生命保険など,35,なし,家主,正社員,登録あり,安全
200DM未満,9,遅延なく返済中,家具など,2030,口座なし,勤続4年以上7年未満,女性／独身,なし,その他資産,24,なし,家主,正社員,,安全
200DM未満,60,遅延あり,ラジオ／テレビ,7418,口座なし,勤続1年以上4年未満,女性／独身,なし,不動産,27,なし,家主,パート/アルバイト,,安全
口座なし,24,要注意人物,ラジオ／テレビ,2684,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,35,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,12,遅延なく返済中,家具など,1657,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,27,なし,家主,正社員,登録あり,安全
0DM未満,18,要注意人物,新車,5302,100DM未満,勤続7年以上,女性／独身,なし,なし,36,なし,家族と同居,管理者/役員,,安全
口座なし,10,要注意人物,新車,1231,100DM未満,勤続7年以上,女性／独身,なし,不動産,32,なし,家主,パート/アルバイト,,安全
200DM未満,15,遅延なく返済中,ラジオ／テレビ,802,100DM未満,勤続7年以上,女性／独身,なし,その他資産,37,なし,家主,正社員,登録あり,リスクあり
口座なし,36,要注意人物,仕事,6304,口座なし,勤続7年以上,女性／独身,なし,不動産,36,なし,家主,正社員,,安全
口座なし,24,遅延なく返済中,ラジオ／テレビ,999,口座なし,勤続7年以上,女性／独身,なし,その他資産,25,なし,家主,正社員,,安全
口座なし,18,遅延なく返済中,新車,2662,口座なし,勤続4年以上7年未満,女性／独身,なし,生命保険など,32,なし,家主,正社員,,安全
200DM未満,48,当銀行の返済金なし,新車,12169,口座なし,失業中,女性／独身,連帯債務者,なし,36,なし,家族と同居,管理者/役員,登録あり,安全
200DM未満,48,遅延なく返済中,ラジオ／テレビ,3060,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,28,なし,家主,正社員,,リスクあり
口座なし,9,遅延なく返済中,ラジオ／テレビ,2697,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,32,なし,家主,正社員,登録あり,安全
口座なし,24,遅延なく返済中,ラジオ／テレビ,1901,100～500DM,勤続1年以上4年未満,女性／独身,なし,その他資産,29,なし,賃貸,管理者/役員,,安全
口座なし,15,要注意人物,中古車,3368,1000DM以上,勤続7年以上,女性／独身,なし,なし,23,なし,賃貸,正社員,登録あり,安全
口座なし,12,遅延なく返済中,家具など,1574,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,50,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,18,当銀行の返済金なし,ラジオ／テレビ,1445,口座なし,勤続4年以上7年未満,女性／独身,なし,その他資産,49,銀行,家主,パート/アルバイト,,安全
口座なし,15,要注意人物,家具など,1520,口座なし,勤続7年以上,女性／独身,なし,生命保険など,63,なし,家主,正社員,登録あり,安全
0DM未満,48,遅延なく返済中,中古車,4788,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,26,なし,家主,正社員,,安全
200DM未満,48,遅延あり,その他,7582,100～500DM,失業中,女性／独身,なし,なし,31,なし,家族と同居,管理者/役員,,安全
200DM以上または給与振込口座,42,要注意人物,中古車,4796,100DM未満,勤続7年以上,女性／独身,なし,なし,56,なし,家族と同居,正社員,登録あり,安全
口座なし,10,遅延なく返済中,新車,1287,口座なし,勤続7年以上,女性／独身,連帯債務者,生命保険など,45,なし,家主,パート/アルバイト,登録あり,安全
口座なし,18,遅延なく返済中,家具など,2515,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,43,なし,家主,正社員,,安全
200DM未満,21,要注意人物,家具など,2745,1000DM以上,勤続4年以上7年未満,女性／独身,なし,その他資産,32,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,24,要注意人物,新車,1344,口座なし,勤続4年以上7年未満,女性／独身,なし,不動産,37,銀行,家主,パート/アルバイト,登録あり,リスクあり
0DM未満,10,要注意人物,新車,1038,100DM未満,勤続4年以上7年未満,女性／独身,連帯債務者,生命保険など,49,なし,家主,正社員,,安全
口座なし,48,要注意人物,新車,10127,500～1000DM,勤続1年以上4年未満,女性／独身,なし,なし,44,銀行,家族と同居,正社員,,リスクあり
200DM未満,48,遅延なく返済中,その他,5381,口座なし,失業中,女性／独身,なし,なし,40,銀行,家族と同居,無職,登録あり,安全
口座なし,24,遅延なく返済中,家具など,5511,100～500DM,勤続1年以上4年未満,女性／独身,なし,その他資産,25,消費者金融,家主,正社員,,安全
200DM以上または給与振込口座,4,遅延なく返済中,新車,1494,口座なし,勤続１年未満,女性／独身,なし,不動産,29,なし,家主,パート/アルバイト,,安全
0DM未満,36,当銀行の返済金なし,家具など,2746,100DM未満,勤続7年以上,女性／独身,なし,その他資産,31,銀行,家主,正社員,登録あり,リスクあり
0DM未満,12,遅延なく返済中,家具など,708,100DM未満,勤続1年以上4年未満,女性／独身,保証人,生命保険など,38,なし,家主,パート/アルバイト,,安全
口座なし,12,要注意人物,教育,701,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,32,なし,家主,正社員,,安全
0DM未満,24,遅延なく返済中,中古車,2910,100DM未満,勤続4年以上7年未満,女性／独身,なし,なし,34,なし,家族と同居,管理者/役員,登録あり,安全
0DM未満,18,遅延なく返済中,家具など,2659,1000DM以上,勤続1年以上4年未満,女性／独身,なし,その他資産,28,なし,家主,正社員,,安全
0DM未満,8,要注意人物,新車,3398,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,39,なし,家主,パート/アルバイト,登録あり,安全
口座なし,12,要注意人物,家具など,5801,口座なし,勤続7年以上,女性／独身,なし,生命保険など,49,なし,賃貸,正社員,登録あり,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,4473,100DM未満,勤続7年以上,女性／独身,なし,その他資産,31,なし,家主,正社員,,安全
200DM未満,6,遅延なく返済中,ラジオ／テレビ,1068,100DM未満,勤続7年以上,女性／独身,なし,その他資産,28,なし,家主,正社員,登録あり,安全
0DM未満,24,要注意人物,中古車,6615,100DM未満,失業中,女性／独身,なし,なし,75,なし,家族と同居,管理者/役員,登録あり,安全
0DM未満,24,借金なし,家具など,4110,100DM未満,勤続7年以上,女性／独身,なし,なし,23,銀行,賃貸,正社員,,リスクあり
0DM未満,24,遅延なく返済中,家具など,4169,100DM未満,勤続1年以上4年未満,女性／独身,なし,生命保険など,28,なし,家主,正社員,登録あり,安全
200DM未満,18,遅延なく返済中,仕事,4439,100DM未満,勤続7年以上,女性／独身,連帯債務者,不動産,33,銀行,家主,管理者/役員,登録あり,安全
200DM以上または給与振込口座,10,遅延なく返済中,新車,3949,100DM未満,勤続１年未満,女性／独身,保証人,生命保険など,37,なし,家主,パート/アルバイト,,安全
200DM未満,13,要注意人物,ラジオ／テレビ,882,100DM未満,勤続１年未満,女性／独身,保証人,不動産,23,なし,家主,正社員,登録あり,安全
口座なし,6,遅延あり,仕事,1743,100～500DM,勤続1年以上4年未満,女性／独身,なし,不動産,34,なし,家主,パート/アルバイト,,安全
200DM未満,9,要注意人物,教育,1136,1000DM以上,勤続7年以上,女性／独身,なし,なし,32,なし,家族と同居,正社員,,リスクあり
口座なし,18,要注意人物,中古車,3229,口座なし,失業中,女性／独身,なし,なし,38,なし,家主,管理者/役員,登録あり,安全
0DM未満,12,借金なし,ラジオ／テレビ,6199,100DM未満,勤続1年以上4年未満,女性／独身,なし,生命保険など,28,なし,賃貸,正社員,登録あり,リスクあり
口座なし,10,遅延なく返済中,教育,727,500～1000DM,勤続7年以上,女性／独身,なし,なし,46,なし,家族と同居,正社員,,安全
200DM未満,24,遅延なく返済中,新車,1246,100DM未満,勤続１年未満,女性／独身,なし,不動産,23,消費者金融,家主,パート/アルバイト,登録あり,リスクあり
口座なし,12,要注意人物,ラジオ／テレビ,2331,口座なし,勤続7年以上,女性／独身,連帯債務者,不動産,49,なし,家主,正社員,登録あり,安全
口座なし,36,遅延あり,ラジオ／テレビ,4463,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,26,なし,家主,管理者/役員,登録あり,リスクあり
200DM未満,18,遅延なく返済中,教育,1239,口座なし,勤続1年以上4年未満,女性／独身,なし,なし,61,なし,家族と同居,正社員,,安全
200DM以上または給与振込口座,12,遅延なく返済中,ラジオ／テレビ,3399,口座なし,勤続7年以上,女性／独身,なし,その他資産,37,なし,家主,管理者/役員,,安全
0DM未満,18,遅延なく返済中,家具など,2473,100DM未満,失業中,女性／独身,なし,その他資産,25,なし,家主,無職,,リスクあり
口座なし,12,遅延なく返済中,仕事,1542,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,36,なし,家主,正社員,,安全
口座なし,18,要注意人物,中古車,3850,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,27,なし,家主,正社員,登録あり,安全
0DM未満,36,遅延なく返済中,家具など,3446,100DM未満,勤続7年以上,女性／独身,なし,その他資産,42,なし,家主,正社員,登録あり,リスクあり
口座なし,36,遅延なく返済中,新車,3079,口座なし,勤続1年以上4年未満,女性／独身,なし,不動産,36,なし,家主,正社員,,安全
口座なし,18,要注意人物,ラジオ／テレビ,6070,100DM未満,勤続7年以上,女性／独身,なし,その他資産,33,なし,家主,正社員,,安全
口座なし,60,要注意人物,新車,13756,口座なし,勤続7年以上,女性／独身,なし,なし,63,銀行,家族と同居,管理者/役員,,安全
口座なし,7,遅延あり,ラジオ／テレビ,846,口座なし,勤続7年以上,女性／独身,なし,なし,36,なし,家族と同居,正社員,,安全
200DM未満,36,遅延なく返済中,新車,14318,100DM未満,勤続7年以上,女性／独身,なし,なし,57,なし,家族と同居,管理者/役員,登録あり,リスクあり
0DM未満,20,遅延なく返済中,家具など,2212,口座なし,勤続4年以上7年未満,女性／独身,なし,その他資産,39,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,12,遅延なく返済中,新車,1330,100DM未満,勤続１年未満,女性／独身,なし,不動産,26,なし,家主,正社員,登録あり,安全
口座なし,30,遅延あり,仕事,4272,100～500DM,勤続1年以上4年未満,女性／独身,なし,生命保険など,26,なし,家主,パート/アルバイト,登録あり,安全
200DM未満,18,要注意人物,家具など,7374,100DM未満,失業中,女性／独身,なし,生命保険など,40,消費者金融,家主,管理者/役員,,安全
200DM未満,15,要注意人物,仕事,2326,500～1000DM,勤続1年以上4年未満,女性／独身,なし,その他資産,27,銀行,家主,正社員,登録あり,安全
0DM未満,36,遅延なく返済中,新車,3249,100DM未満,勤続4年以上7年未満,女性／独身,なし,なし,39,銀行,家族と同居,管理者/役員,登録あり,安全
200DM未満,39,遅延あり,教育,11760,100～500DM,勤続4年以上7年未満,女性／独身,なし,なし,32,なし,賃貸,正社員,,安全
口座なし,24,遅延あり,仕事,8648,100DM未満,勤続１年未満,女性／独身,なし,その他資産,27,銀行,家主,正社員,登録あり,リスクあり
口座なし,14,遅延あり,新車,802,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,27,なし,家主,パート/アルバイト,,安全
200DM未満,18,遅延あり,新車,2899,口座なし,勤続7年以上,女性／独身,なし,その他資産,43,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,仕事,2292,100DM未満,失業中,女性／独身,なし,その他資産,42,消費者金融,家主,管理者/役員,,リスクあり
口座なし,10,遅延なく返済中,新車,1597,500～1000DM,勤続1年以上4年未満,女性／独身,なし,なし,40,なし,賃貸,パート/アルバイト,登録あり,安全
0DM未満,12,遅延なく返済中,新車,2579,100DM未満,勤続１年未満,女性／独身,なし,不動産,33,なし,家主,パート/アルバイト,登録あり,リスクあり
200DM未満,12,遅延なく返済中,中古車,2028,口座なし,勤続1年以上4年未満,女性／独身,なし,その他資産,30,なし,家主,正社員,,安全
200DM未満,12,要注意人物,新車,958,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,47,なし,家主,パート/アルバイト,登録あり,安全
口座なし,21,遅延あり,家具など,1591,100～500DM,勤続4年以上7年未満,女性／独身,なし,不動産,34,なし,家主,管理者/役員,登録あり,安全
口座なし,9,遅延なく返済中,家具など,1313,100DM未満,勤続7年以上,女性／独身,なし,その他資産,20,なし,家主,正社員,,安全
口座なし,5,遅延なく返済中,仕事,3448,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,74,なし,家主,パート/アルバイト,,安全
200DM未満,24,遅延なく返済中,その他,11328,100DM未満,勤続1年以上4年未満,女性／独身,連帯債務者,その他資産,29,銀行,家主,管理者/役員,,リスクあり
0DM未満,6,要注意人物,家具など,1872,100DM未満,失業中,女性／独身,なし,なし,36,なし,家族と同居,管理者/役員,,安全
0DM未満,9,遅延なく返済中,家具など,2136,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,25,なし,家主,正社員,,安全
口座なし,12,遅延なく返済中,新車,1884,100DM未満,勤続7年以上,女性／独身,なし,その他資産,39,なし,家主,管理者/役員,,安全
200DM未満,20,遅延あり,その他,2629,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,29,銀行,家主,正社員,,安全
口座なし,12,遅延なく返済中,教育,719,100DM未満,勤続7年以上,女性／独身,なし,その他資産,41,銀行,家主,パート/アルバイト,,リスクあり
200DM未満,7,遅延なく返済中,ラジオ／テレビ,2576,100DM未満,勤続1年以上4年未満,女性／独身,保証人,不動産,35,なし,家主,正社員,登録あり,安全
口座なし,12,借金なし,家具など,2759,100DM未満,勤続7年以上,女性／独身,なし,生命保険など,34,なし,家主,正社員,,安全
口座なし,24,遅延なく返済中,中古車,2670,100DM未満,勤続7年以上,女性／独身,なし,その他資産,35,なし,家主,管理者/役員,,安全
0DM未満,24,遅延なく返済中,新車,4817,100DM未満,勤続4年以上7年未満,女性／独身,連帯債務者,生命保険など,31,なし,家主,正社員,,リスクあり
0DM未満,12,遅延なく返済中,中古車,3386,100DM未満,勤続7年以上,女性／独身,なし,なし,35,なし,家族と同居,正社員,,リスクあり
口座なし,18,遅延なく返済中,ラジオ／テレビ,4594,100DM未満,勤続１年未満,女性／独身,なし,その他資産,32,なし,家主,正社員,,安全
0DM未満,36,遅延なく返済中,家具など,3620,100DM未満,勤続1年以上4年未満,女性／独身,保証人,生命保険など,37,なし,家主,正社員,,安全
0DM未満,15,遅延なく返済中,新車,1721,100DM未満,勤続１年未満,女性／独身,なし,不動産,36,なし,家主,正社員,,安全
200DM未満,12,遅延なく返済中,再教育,754,口座なし,勤続7年以上,女性／独身,なし,生命保険など,38,なし,家主,正社員,,安全
口座なし,18,遅延なく返済中,仕事,1950,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,34,消費者金融,家主,正社員,登録あり,安全
0DM未満,24,遅延なく返済中,中古車,2924,100DM未満,勤続1年以上4年未満,女性／独身,保証人,なし,63,銀行,家主,正社員,,安全
口座なし,48,遅延あり,ラジオ／テレビ,7238,口座なし,勤続7年以上,女性／独身,なし,その他資産,32,銀行,家主,正社員,,安全
口座なし,24,遅延あり,中古車,4679,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,35,なし,家主,パート/アルバイト,,安全
0DM未満,9,遅延なく返済中,新車,654,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,28,なし,家主,パート/アルバイト,,リスクあり
口座なし,6,遅延なく返済中,再教育,1238,口座なし,失業中,女性／独身,なし,生命保険など,36,なし,家主,管理者/役員,登録あり,安全
口座なし,39,遅延なく返済中,中古車,2569,500～1000DM,勤続1年以上4年未満,女性／独身,なし,その他資産,24,なし,家主,正社員,,安全
200DM以上または給与振込口座,24,遅延なく返済中,ラジオ／テレビ,5152,100DM未満,勤続4年以上7年未満,女性／独身,なし,その他資産,25,銀行,家主,正社員,,安全
200DM未満,12,遅延なく返済中,仕事,1037,100～500DM,勤続4年以上7年未満,女性／独身,なし,不動産,39,なし,家主,パート/アルバイト,,安全
0DM未満,15,要注意人物,家具など,1478,100DM未満,勤続7年以上,女性／独身,なし,その他資産,44,なし,家主,正社員,登録あり,安全
200DM未満,24,遅延なく返済中,新車,1201,100DM未満,勤続１年未満,女性／独身,なし,生命保険など,26,なし,家主,正社員,,安全
口座なし,12,要注意人物,新車,1163,500～1000DM,勤続1年以上4年未満,女性／独身,なし,不動産,44,なし,家主,正社員,,安全
200DM未満,6,遅延あり,新車,1209,100DM未満,失業中,女性／独身,なし,生命保険など,47,なし,家主,管理者/役員,,リスクあり
口座なし,12,遅延なく返済中,ラジオ／テレビ,3077,100DM未満,勤続1年以上4年未満,女性／独身,なし,その他資産,52,なし,家主,正社員,登録あり,安全
口座なし,10,遅延なく返済中,新車,1418,100～500DM,勤続1年以上4年未満,女性／独身,なし,不動産,35,なし,賃貸,パート/アルバイト,,安全
口座なし,6,遅延なく返済中,新車,3518,100DM未満,勤続1年以上4年未満,女性／独身,保証人,生命保険など,26,なし,賃貸,正社員,,安全
口座なし,12,要注意人物,ラジオ／テレビ,1934,100DM未満,勤続7年以上,女性／独身,なし,なし,26,なし,家主,正社員,,安全
200DM未満,6,遅延なく返済中,ラジオ／テレビ,368,口座なし,勤続7年以上,女性／独身,なし,生命保険など,38,なし,家主,正社員,登録あり,安全
0DM未満,12,要注意人物,新車,2122,100DM未満,勤続1年以上4年未満,女性／独身,なし,不動産,39,なし,賃貸,パート/アルバイト,,安全
200DM未満,36,遅延なく返済中,家具など,9034,100～500DM,勤続１年未満,女性／独身,連帯債務者,なし,29,なし,賃貸,管理者/役員,,リスクあり
口座なし,24,要注意人物,家具など,1585,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,40,なし,家主,正社員,,安全
0DM未満,36,遅延なく返済中,中古車,5493,100DM未満,勤続7年以上,女性／独身,なし,なし,42,なし,家族と同居,正社員,,安全
200DM未満,24,要注意人物,ラジオ／テレビ,1216,100～500DM,勤続１年未満,女性／独身,なし,なし,38,銀行,家主,正社員,登録あり,リスクあり
口座なし,10,遅延なく返済中,新車,1309,口座なし,勤続1年以上4年未満,女性／独身,保証人,生命保険など,27,なし,家主,パート/アルバイト,登録あり,リスクあり
200DM以上または給与振込口座,15,要注意人物,中古車,2360,500～1000DM,勤続1年以上4年未満,女性／独身,なし,その他資産,36,なし,家主,正社員,,安全
200DM未満,15,当銀行の返済金なし,新車,6850,100～500DM,失業中,女性／独身,なし,生命保険など,34,なし,家主,管理者/役員,,リスクあり
口座なし,39,遅延なく返済中,中古車,8588,100～500DM,勤続7年以上,女性／独身,なし,その他資産,45,なし,家主,管理者/役員,登録あり,安全
0DM未満,12,遅延なく返済中,新車,759,100DM未満,勤続4年以上7年未満,女性／独身,なし,不動産,26,なし,家主,正社員,登録あり,リスクあり
口座なし,36,遅延なく返済中,中古車,4686,100DM未満,勤続1年以上4年未満,女性／独身,なし,なし,32,なし,家族と同居,管理者/役員,,安全
200DM以上または給与振込口座,15,遅延なく返済中,仕事,2687,100DM未満,勤続4年以上7年未満,女性／独身,なし,生命保険など,26,なし,賃貸,正社員,登録あり,安全
口座なし,24,遅延なく返済中,新車,2255,口座なし,勤続１年未満,女性／独身,なし,生命保険など,54,なし,家主,正社員,,安全
0DM未満,6,要注意人物,新車,1361,100DM未満,勤続１年未満,女性／独身,なし,不動産,40,なし,家主,パート/アルバイト,,安全
0DM未満,6,遅延なく返済中,新車,1203,100～500DM,勤続7年以上,女性／独身,なし,生命保険など,43,なし,家主,正社員,登録あり,安全
口座なし,6,要注意人物,ラジオ／テレビ,700,口座なし,勤続7年以上,女性／独身,なし,なし,36,なし,家族と同居,正社員,,安全
口座なし,24,要注意人物,修理,5507,100DM未満,勤続7年以上,女性／独身,なし,なし,44,なし,家族と同居,正社員,登録あり,安全
